x1,x2
0.4340,-1.2987
-0.2722,-1.6450
0.1384,1.2213
-0.6948,0.4753
-1.3886,-0.6324
0.4277,1.6236
1.0446,-2.0571
0.3615,0.6546
1.3277,-0.4844
1.2665,1.1633
-0.6629,-0.1479
0.3324,-0.0855
-0.8592,0.5080
-1.4074,0.0792
0.3774,1.6164
-0.7941,-0.0798
-0.8751,0.9247
0.2253,-0.4737
-0.4568,-0.8859
0.3288,-0.3923
1.2698,0.1454
1.0313,1.8983
-1.0599,0.0539
0.6078,0.2475
-0.3431,-1.1600
1.0821,0.5019
-0.8040,-0.7445
-0.1686,0.0600
1.1760,-1.8430
0.7391,-0.6142
-1.8676,-0.2356
0.0301,0.9226
-0.0890,0.5175
2.0993,-0.7850
-1.1045,-1.0381
-0.8649,0.1555
-1.7845,-1.4837
-1.2812,0.8303
-0.4591,0.8761
1.5209,0.0679
-0.0582,-0.2362
-0.4110,0.1521
-0.3768,-0.4371
0.4424,-0.1354
1.2400,-0.8035
-0.4671,-0.1172
0.6984,-1.9330
0.8221,0.4959
-0.5164,0.0999
0.0261,0.1843
0.5337,0.2533
-0.3638,-0.9395
-0.1806,0.9758
1.2430,-0.0061
2.3865,0.3223
0.3487,1.2159
-0.0035,0.2910
-1.7576,-0.6511
1.3587,1.7313
-1.1137,-0.8248
0.0787,-0.8561
-0.3778,-0.0430
0.4319,-0.1359
0.5939,0.1919
0.7200,-1.3575
-0.6043,0.1278
0.8747,0.2171
-0.4954,0.8465
-1.4035,2.0556
-0.1200,1.8040
0.6834,1.4989
0.8211,-0.5518
-0.9423,0.9632
0.4687,-0.5168
-0.2453,0.0989
-1.5045,-0.6078
-1.0134,1.8540
-0.0402,-0.6662
-0.0018,0.4542
0.4626,-0.8467
-0.4426,-0.0940
-0.7422,-0.6882
0.2546,-0.2326
0.3775,-0.6545
0.5155,0.0444
0.1526,1.0490
0.8645,-0.7804
-0.7586,0.9410
0.9724,1.0023
1.4352,0.3770
-0.0246,0.7379
-2.6484,-1.0946
1.5847,-0.0816
-1.1931,0.3544
0.1292,0.3096
-1.0448,0.5463
0.9877,-1.2075
-0.4368,-0.3531
-0.4088,-0.5260
0.9335,-0.9422
-0.7263,0.9369
-0.7907,-0.7237
-0.1916,0.7511
-1.1119,0.9563
-0.8666,-0.2752
-1.2996,-0.2209
0.7156,-0.8197
0.1537,-0.2825
0.3008,-1.4487
0.0373,0.0777
-0.1529,0.4302
-0.6558,-0.4274
1.1407,-1.4546
-0.3919,-2.3068
0.6836,0.3748
1.3608,-0.2511
-0.9818,0.6556
-0.0387,0.2310
0.7592,0.3960
1.1710,1.6386
-0.5967,1.2423
1.7002,0.1257
-1.2044,0.7828
1.6987,-0.4275
2.5034,0.3260
-1.4257,-1.3661
0.7160,-0.6072
2.1053,0.9491
1.0563,0.5427
-1.3441,0.4621
-0.9157,0.8798
0.8307,0.1903
-1.7543,-1.0570
0.4503,0.2302
-0.6754,-0.1987
0.9378,0.1137
-0.9472,-1.7356
0.7595,0.4685
0.6909,0.4175
-1.8759,0.1735
0.8736,0.0147
-0.3123,-0.0685
1.7751,-2.0428
-1.7696,0.3528
-0.9481,1.7455
0.8330,-0.3696
0.0367,0.5760
-0.6158,-0.2979
0.2937,1.6721
0.1022,-0.1866
-0.0165,0.7104
-1.4560,-0.6350
0.2962,1.6951
0.5470,0.2981
0.5549,-0.7441
0.5894,0.7465
-0.3847,2.1814
-1.7700,-0.4931
0.8539,1.0254
-0.2605,-1.2162
-0.4604,0.7250
1.1669,1.0236
0.2997,-0.8383
0.5443,1.3885
1.5306,0.0111
-1.1203,-0.1705
0.1355,-1.8750
0.0814,-1.2771
0.9159,0.7703
0.6997,0.4659
0.2896,-0.6356
0.0005,0.0559
-0.4342,0.8268
0.7470,-0.1172
2.2831,0.5299
-0.5756,-2.2547
0.5132,-1.3331
-1.3779,-0.7007
-1.4929,-1.5530
0.3873,0.1543
2.3420,-1.5934
-1.2244,-0.1819
1.0719,-0.8469
-0.8819,-1.5065
-0.1998,-1.5473
-0.7676,-0.1264
-0.8650,0.4171
-0.3314,-0.1140
1.4188,-1.4934
-0.9514,-0.8254
1.8340,0.2400
1.5192,-0.7911
0.2149,0.7448
0.3694,1.8611
-0.6596,-1.1760
-0.8359,-1.0178
0.1298,-0.2811
1.6667,-0.9179
0.4168,-0.7663
-1.4812,0.6204
1.4517,0.0786
-0.7759,-0.1387
-0.6476,-0.8953
