x1,x2
-1.7865,-1.0735
0.8675,0.9655
-0.4773,-2.3377
3.1614,2.6107
-1.3776,-1.2106
0.8045,1.0506
-0.4191,-1.0680
1.2187,1.0499
2.0293,1.9127
-0.7859,1.0547
1.5277,0.0380
1.3170,0.0723
1.0340,-0.4213
1.1007,1.8467
1.8668,1.3538
0.7166,1.2740
-0.8433,0.4606
0.1601,-1.4625
-0.8498,-2.1049
-1.1093,-0.4344
2.1066,0.8587
0.3971,0.7648
-0.8734,0.1209
-0.1112,-1.4073
1.1011,0.2120
-1.6554,-1.2217
0.2723,-0.3235
0.5839,0.8253
-1.1128,-1.6226
-1.3668,-0.3489
0.1634,-0.2014
0.9174,-0.2866
-0.9515,-0.7089
0.3197,-0.6666
-0.3005,0.0229
1.3177,0.5473
-0.4171,-0.0876
-0.2741,0.2637
1.3239,1.3478
0.5539,-0.6661
2.7620,2.0990
0.6419,0.5465
-0.5429,-1.1834
-0.1036,0.0931
0.5179,-0.4875
0.3226,-0.5279
-0.9871,-1.0693
0.2809,0.3117
0.0937,-0.3116
-0.5110,-1.0153
0.4352,0.1124
0.5960,0.4437
-1.1660,-1.5189
-1.7288,-1.9359
0.6381,-0.6107
-0.7821,-1.5830
0.5043,-0.3066
-0.0323,-0.5795
0.6707,-0.4468
-0.0326,0.9623
-2.1212,-2.6282
1.3980,1.7255
0.4032,-0.5097
-1.1744,-0.1888
-0.6921,-0.4647
1.4703,1.0402
1.8508,0.0896
-1.7196,0.4876
-0.9799,-0.2955
0.7952,1.6563
0.9845,0.5926
0.8376,0.6584
0.2766,0.0640
0.8516,1.0311
0.3998,0.5443
0.5201,1.1293
-0.4531,-0.6180
-0.6422,0.3533
-1.0155,0.0061
0.9231,1.5111
-1.3673,-1.0898
-1.0373,-1.6853
-1.1155,-0.2149
1.1215,1.1197
1.9937,1.3440
0.6422,0.3871
-1.1396,-0.9143
-3.2233,-2.2375
1.6322,2.1427
0.8355,-0.3653
2.1353,1.7790
0.5242,-0.2695
0.8690,0.7484
1.2678,-1.0093
-0.4533,1.1908
-2.3007,-0.3625
1.0145,-0.4512
0.2760,0.6288
-0.6013,-0.2688
-1.0137,-1.6563
-0.2641,-1.2956
0.8668,1.0156
1.0251,0.3981
0.0161,1.2211
-0.8056,-0.1306
0.5552,0.2154
-0.3683,-1.2667
-0.4572,0.6525
-0.1661,-0.0077
-0.5204,-0.0627
1.5937,0.9619
0.6559,1.1033
-0.6255,0.4576
0.7730,1.6946
1.4381,0.2168
0.5063,-1.1107
-0.5417,-0.4466
1.1346,2.0048
1.0397,0.1096
0.5109,0.8278
-0.8297,0.8136
1.5773,0.7042
-0.0241,-1.2626
-0.9599,-0.8247
0.4033,-0.4760
1.5945,0.3512
-0.5772,0.6143
1.1955,1.8108
-0.8975,0.1369
2.0989,0.0404
-2.8930,-1.0687
-0.0962,-0.5290
1.9737,2.1011
0.1846,0.7578
-0.4913,0.2191
-0.3794,-1.6218
-1.2000,-0.7870
-1.0080,0.2412
0.2823,-0.8405
-0.3098,-0.3734
1.7570,1.4552
-0.0908,0.2568
-0.2827,0.0963
-1.3079,0.1808
-2.3660,-0.6351
-0.7949,-1.1030
-0.3895,0.0897
-0.2447,0.3647
0.1093,0.3797
1.4912,-0.2752
0.2246,0.0344
0.2454,1.2932
1.0671,1.1748
0.0033,-0.5791
0.3102,-1.3370
0.8847,0.6831
0.9085,0.6626
-0.1892,0.0323
