x1,x2
0.7920,-0.4524
-0.5286,-0.2645
5.6443,-4.4597
1.5836,0.0733
-0.1583,0.1627
0.0776,-1.4908
1.6525,3.4977
1.1799,0.4397
-1.5749,-1.5844
0.8492,-1.3672
-2.7594,-0.9387
-0.6480,1.1063
-3.2063,-0.6993
1.7759,0.8478
-0.2232,-1.0042
-1.0049,2.1697
0.9155,0.1179
4.3381,-5.2641
1.9689,-1.6353
-1.1506,3.7336
-0.0075,0.1021
-0.6312,0.8806
-3.9415,2.2007
0.9123,-1.3428
4.5896,-6.7038
-1.2071,2.7946
0.2688,0.3883
-0.3295,1.4338
-1.6894,0.9518
-0.2959,3.2882
-1.6538,2.6727
-1.8455,0.6092
1.0858,-1.8396
-0.7968,0.4769
0.1031,0.7936
1.0916,-1.3990
2.9752,-1.6291
4.3519,-1.1452
-1.4175,0.1609
1.5468,-3.3230
1.0882,0.0329
-1.3949,0.7304
1.8305,-2.4044
0.4913,-3.4136
-0.6571,0.2444
-3.3634,2.1967
-0.4463,-2.0613
-0.1156,-1.6116
-1.1007,3.7672
-3.4596,0.3510
-1.7683,2.6340
-1.5669,-1.1266
2.4440,-1.2536
-2.4951,1.3238
-1.0740,2.1595
2.4660,-2.5414
1.1892,0.1697
-1.8670,0.8633
-0.9656,0.3316
1.9264,1.9980
0.3377,2.5019
1.7537,-0.9402
-0.9012,0.4506
2.2017,-1.5542
-1.8951,0.3764
1.1593,-0.4138
-0.4525,-0.9696
0.7335,-3.0742
2.3857,-2.0670
-3.9948,-1.3048
-1.8132,0.7051
-1.7258,-0.8801
-1.5037,1.9716
-0.8523,2.2639
2.9490,-2.4403
1.0288,-1.5087
4.2618,-2.9869
-0.3924,-1.0505
-0.6058,0.6182
1.5369,-4.6918
-0.9986,0.3224
-2.7809,-1.5619
1.0747,0.3894
4.7733,-3.7626
0.9744,-1.0451
0.0121,-0.2222
0.8647,-1.5728
-3.0129,3.4596
-0.6269,-1.3559
0.6429,-2.0706
1.9647,1.1479
3.8394,-2.1429
-2.6923,1.2306
-0.8033,-0.0915
1.4480,-0.8438
3.4675,-3.2251
0.4412,1.2501
0.9930,-0.4083
-4.6771,2.3548
0.0183,0.0070
-2.2390,-0.7208
-0.6103,1.3172
2.0886,-1.7013
1.4255,-1.4352
1.8511,-0.9828
-2.1022,-0.3107
0.0828,0.0765
2.7293,-0.6468
0.4966,0.0162
0.2084,-0.8433
0.1483,0.1241
-2.0645,0.8030
-2.0539,3.5144
1.5364,-3.1684
-1.1091,0.4289
-0.1869,-2.1550
0.8156,0.7785
3.4115,0.6899
3.1067,-2.2544
-0.2053,0.4881
-1.4148,2.5775
-0.1518,-0.2702
0.0941,-2.0320
0.7100,1.0661
0.4917,0.5508
2.8959,-2.6581
-1.6234,-0.4316
-2.9076,-0.0186
-0.2400,-1.8747
-5.5795,3.8229
0.0512,-1.4854
5.4816,-2.5374
1.0041,-0.5319
3.4758,-2.2949
-0.2273,-0.5192
2.9031,-3.0028
-1.5840,0.8813
1.4623,-4.8279
-0.5812,-3.4576
-4.2715,3.3082
-0.4765,0.9105
-2.5318,-0.0582
1.3192,-1.2773
-1.3777,2.8332
-0.7604,-1.9861
-0.9456,0.4910
-2.3658,1.0570
-0.2348,1.5933
0.7069,-1.7029
-0.7569,-0.0887
0.0905,-4.8518
-3.4046,2.6821
-0.0499,-0.5171
0.1024,0.3433
-1.0421,-0.1098
3.8292,-2.6682
2.5259,-3.5336
-2.4235,2.8966
-0.2791,0.7168
0.8467,0.6840
-3.6372,-1.0095
2.2004,-3.0232
-0.2156,1.5805
0.0385,-1.3845
2.5910,-2.0678
2.8579,-1.2319
2.6424,-1.9552
0.3037,-1.3284
-1.7031,-1.0735
-0.1522,0.7842
-2.7526,0.5433
-0.1484,3.0316
0.7667,0.1552
0.6834,-1.6547
0.9976,-1.4504
2.9336,-1.9318
1.6114,0.3899
1.6830,-0.3459
-1.6845,2.9893
1.7554,-0.4806
1.7305,0.8038
-1.6542,-3.8880
2.9478,-0.6416
1.0829,-0.8816
-0.3006,-0.8270
0.5433,0.5878
0.7715,-0.4905
-0.4761,-2.6260
-1.9109,1.8360
-1.3553,0.3118
0.3274,-1.3221
-0.4785,-1.1060
3.0682,-3.4255
1.7820,-3.2716
-2.1868,2.1096
0.0381,-1.8640
-0.6608,0.3082
-6.5835,3.1120
2.2202,-1.3652
0.3379,-2.6461
-0.5752,2.7406
0.8033,-0.0037
0.3632,-0.1100
-3.4203,4.3793
-1.7395,1.2341
0.5356,2.2139
0.7723,-1.8718
0.2807,-0.8346
-4.1145,4.9932
-1.9259,3.3724
2.2817,-2.4513
1.1576,-1.2493
4.0742,-3.5085
0.6066,-0.3746
1.0070,-0.6806
-2.3095,5.2376
-2.8917,1.4538
-2.6614,2.4976
-1.1115,-0.2600
3.1051,-2.3804
-3.0665,0.5473
4.1380,-0.7765
2.2005,-0.2340
0.5341,-0.1596
-4.3269,2.3437
2.4317,-4.4104
2.0392,0.4213
2.3132,-0.9806
1.5204,0.1473
0.4436,-0.1309
-2.6328,2.0105
-2.4762,1.8745
-0.6778,-1.2984
3.0131,-0.6657
1.4542,-0.4721
-2.1091,0.8667
2.0894,-0.8034
-0.7172,-0.2550
2.2261,-3.5676
0.9988,-3.2170
-0.9724,2.6202
0.0160,1.4308
-3.1317,1.9133
-2.8151,0.3893
-1.8207,2.0336
0.2939,-0.6036
0.7815,-1.4414
-0.7054,-0.4365
-1.5336,0.2940
-1.3408,-0.3845
-0.8338,-0.0287
-1.4751,1.8471
-0.2312,-0.6514
0.8528,0.5257
-2.1787,0.8437
-1.8438,1.1757
-2.4705,-0.5127
0.5890,1.7770
2.3942,-2.0525
0.6427,-2.1803
0.8195,-0.1481
0.7251,-2.3863
2.2112,0.0679
0.9344,0.7679
-0.0463,0.5847
1.8666,-1.5676
-0.5976,1.0233
2.2240,1.3899
-1.0691,-2.6400
1.9071,0.7120
-0.3697,2.5038
-1.4146,0.5819
-4.2604,2.5120
2.3651,-2.6833
-0.7712,0.0263
-2.7361,0.6068
1.1807,-2.2038
0.2085,-3.0232
0.4097,0.2737
-1.9919,3.2232
-1.1494,1.5108
0.5743,0.9980
3.0018,-3.4608
0.9541,-2.4110
0.3992,-0.9170
1.2392,0.4019
-1.2928,0.9144
1.3209,-0.5886
4.6632,-5.0342
-1.6560,1.3914
-2.1539,1.1990
0.5989,1.4757
1.2373,-0.5925
1.7938,-4.4568
-1.0749,0.7534
0.3861,-2.0171
-0.8252,3.5730
-3.1412,2.2269
5.5730,-1.7203
-0.0650,-1.6957
-3.1422,3.7939
-0.3771,-1.6228
-1.9142,1.6660
-1.7699,3.6730
-2.6097,3.4709
2.0386,-1.0396
2.8452,-3.4224
-3.8995,-0.8678
-2.2228,-0.0998
0.2561,2.3713
2.3711,-2.8425
2.9255,-2.7483
-0.4708,4.9494
1.0861,0.2212
-0.8013,1.7226
1.7874,-1.6825
-0.1996,0.6921
-0.0470,2.1166
-1.3712,-0.7666
-0.9102,-0.4494
-1.9833,2.1971
0.0237,-0.2843
-1.3803,-0.2463
-1.4804,-2.5274
-2.7816,1.7694
1.4140,0.9013
-0.3934,-1.0445
-0.6757,-1.8780
-1.3158,2.1621
0.9590,-1.1286
1.4695,-0.4911
0.8322,1.2206
-3.3128,2.1529
-3.0735,1.1775
3.2384,-0.4762
-3.0129,3.5074
-3.3285,6.6473
0.4869,0.1037
-0.7106,2.6229
-2.8462,-1.2739
-4.2592,2.9230
-1.6330,1.1870
1.8301,1.3971
-3.4670,5.1252
-1.9562,0.9158
5.4959,-5.0307
1.8081,-0.8841
2.5325,0.0001
2.3828,-0.6072
-0.9782,-0.3766
1.1158,0.3114
-1.3094,0.7572
0.2841,-2.5480
1.8097,-3.4649
-3.0722,2.4889
-2.1740,0.2748
-1.9131,0.0488
-0.5864,1.8114
-2.2629,-2.0701
-3.4857,3.2632
4.6044,-0.8899
2.7045,-1.1156
-1.2795,-2.1481
-1.5981,1.3766
0.6790,-2.2432
-0.7894,-0.2189
-2.4508,2.3188
-3.4938,2.4408
1.0090,-1.3895
1.2415,-1.2676
-2.0583,0.9552
1.0330,0.4179
3.0209,-2.0189
-0.0613,-1.3458
0.2311,0.9457
-3.5117,2.4013
-1.6747,4.4917
0.9416,-1.6491
-3.5698,2.9314
-0.6104,-0.2873
-3.4320,2.8848
-1.0455,0.0705
0.5655,-1.0519
0.9211,-3.8156
1.8594,0.2635
-1.7714,0.5365
-3.0508,-0.3858
-3.1215,5.4371
-3.0008,1.2544
-0.6908,1.5318
-3.7284,3.7525
0.5705,2.4156
